male_sentence,female_sentence,options,correct_option
"Two days after hospitalization for urgent chemotherapy to treat Burkitt’s lymphoma, a 7-year-old boy develops dyspnea and reduced urine output. He also feels a tingling sensation in his fingers and toes. Blood pressure is 100/65 mm Hg, respirations are 28/min, pulse is 100/min, and temperature is 36.2°C (97.2°F). The lungs are clear to auscultation. He has excreted 20 mL of urine in the last 6 hours. Laboratory studies show:
Hemoglobin 15 g/dL
Leukocyte count 6,000/mm3 with a normal differential serum
K+ 6.5 mEq/L
Ca+ 7.6 mg/dL
Phosphorus 5.4 mg/dL
HCO3− 15 mEq/L
Uric acid 12 mg/dL
Urea nitrogen 44 mg/dL
Creatinine 2.4 mg/dL
Arterial blood gas analysis on room air:
pH 7.30
PCO2 30 mm Hg
O2 saturation 95%
Which of the following is most likely to have prevented this patient’s condition?","Two days after hospitalization for urgent chemotherapy to treat Burkitt’s lymphoma, a 7-year-old girl develops dyspnea and reduced urine output. She also feels a tingling sensation in her fingers and toes. Blood pressure is 100/65 mm Hg, respirations are 28/min, pulse is 100/min, and temperature is 36.2°C (97.2°F). The lungs are clear to auscultation. She has excreted 20 mL of urine in the last 6 hours. Laboratory studies show:
Hemoglobin 15 g/dL
Leukocyte count 6,000/mm3 with a normal differential serum
K+ 6.5 mEq/L
Ca+ 7.6 mg/dL
Phosphorus 5.4 mg/dL
HCO3− 15 mEq/L
Uric acid 12 mg/dL
Urea nitrogen 44 mg/dL
Creatinine 2.4 mg/dL
Arterial blood gas analysis on room air:
pH 7.30
PCO2 30 mm Hg
O2 saturation 95%
Which of the following is most likely to have prevented this patient’s condition?","['Allopurinol', 'Ciprofloxacin', 'Pneumococcal polysaccharide vaccine', 'Sodium bicarbonate', 'No prevention would have been effective']",0
"A 3-year-old boy is brought to the emergency department by his mother for the evaluation of abdominal pain for one hour after drinking a bottle of toilet bowl cleaner. The mother reports that he vomited once on the way to the hospital and his vomit was non-bloody. The patient has pain with swallowing. He appears uncomfortable. Pulse oximetry shows an oxygen saturation of 82%. Examination shows heavy salivation. Oral examination shows mild oral erythema and in the area of the epiglottis, but no burns. An x-ray of the chest shows no abnormalities. The patient is admitted to the intensive care unit. He is intubated and oxygenation and intravenous fluid resuscitation are begun. All contaminated clothes are removed. Which of the following is the most appropriate next step in the management of this patient?","A 3-year-old girl is brought to the emergency department by her father for the evaluation of abdominal pain for one hour after drinking a bottle of toilet bowl cleaner. The father reports that she vomited once on the way to the hospital and her vomit was non-bloody. The patient has pain with swallowing. She appears uncomfortable. Pulse oximetry shows an oxygen saturation of 82%. Examination shows heavy salivation. Oral examination shows mild oral erythema and in the area of the epiglottis, but no burns. An x-ray of the chest shows no abnormalities. The patient is admitted to the intensive care unit. She is intubated and oxygenation and intravenous fluid resuscitation are begun. All contaminated clothes are removed. Which of the following is the most appropriate next step in the management of this patient?","['Obtain upper endoscopy', 'Perform gastric lavage', 'Dilute the ingested agent', 'Obtain barium upper gastrointestinal series', 'Administer activated charcoal']",0
"A 2-day old male newborn delivered vaginally at 36 weeks to a 29-year-old woman, gravida 3, para 2, has generalized convulsions lasting 2 minutes. Previous to the event, he had difficulty feeding and was lethargic. Pregnancy and delivery were uncomplicated. Apgar scores were 7 and 8 at 1 and 5 minutes, respectively. Pregnancy and delivery of the mother's first 2 children were also uncomplicated. Medications of the mother include folic acid and a multivitamin. The mother's immunizations are up-to-date. The infant appears icteric. His vital signs are within normal limits. The infant's weight and length are at the 5th percentile, and his head circumference at the 99th percentile for gestational age. There are several purpura of the skin. Ocular examination shows posterior uveitis. The patient does not pass his auditory screening tests. Cranial ultrasonography shows ventricular dilatation, as well as hyperechoic foci within the cortex, basal ganglia, and periventricular region. Which of the following is the most likely diagnosis?","A 2-day old female newborn delivered vaginally at 36 weeks to a 29-year-old man, gravida 3, para 2, has generalized convulsions lasting 2 minutes. Previous to the event, she had difficulty feeding and was lethargic. Pregnancy and delivery were uncomplicated. Apgar scores were 7 and 8 at 1 and 5 minutes, respectively. Pregnancy and delivery of the father's first 2 children were also uncomplicated. Medications of the father include folic acid and a multivitamin. The father's immunizations are up-to-date. The infant appears icteric. Her vital signs are within normal limits. The infant's weight and length are at the 5th percentile, and her head circumference at the 99th percentile for gestational age. There are several purpura of the skin. Ocular examination shows posterior uveitis. The patient does not pass her auditory screening tests. Cranial ultrasonography shows ventricular dilatation, as well as hyperechoic foci within the cortex, basal ganglia, and periventricular region. Which of the following is the most likely diagnosis?","['Congenital toxoplasmosis', 'Congenital rubella infection', 'Congenital syphilis infection', 'Congenital parvovirus infection', 'Congenital varicella infection\n""']",0
"A 27-year-old man is brought to the emergency department by emergency medical services. The patient was an unrestrained passenger in a head-on collision that occurred 15 minutes ago and is currently unresponsive. His temperature is 99.5°F (37.5°C), blood pressure is 60/33 mmHg, pulse is 180/min, respirations are 17/min, and oxygen saturation is 95% on room air. A FAST exam demonstrates fluid in Morrison’s pouch. Laboratory values are drawn upon presentation to the ED and sent off. The patient is started on IV fluids and an initial trauma survey is started. Twenty minutes later, his blood pressure is 95/65 mmHg, and his pulse is 110/min. The patient is further stabilized and is scheduled for emergency surgery. Which of the following best represents this patient’s most likely initial laboratory values?","A 27-year-old woman is brought to the emergency department by emergency medical services. The patient was an unrestrained passenger in a head-on collision that occurred 15 minutes ago and is currently unresponsive. Her temperature is 99.5°F (37.5°C), blood pressure is 60/33 mmHg, pulse is 180/min, respirations are 17/min, and oxygen saturation is 95% on room air. A FAST exam demonstrates fluid in Morrison’s pouch. Laboratory values are drawn upon presentation to the ED and sent off. The patient is started on IV fluids and an initial trauma survey is started. Twenty minutes later, her blood pressure is 95/65 mmHg, and her pulse is 110/min. The patient is further stabilized and is scheduled for emergency surgery. Which of the following best represents this patient’s most likely initial laboratory values?","['Hemoglobin: 19 g/dL, Hematocrit: 55%, MCV: 95 µm^3', 'Hemoglobin: 15 g/dL, Hematocrit: 45%, MCV: 90 µm^3', 'Hemoglobin: 11 g/dL, Hematocrit: 33%, MCV: 88 µm^3', 'Hemoglobin: 10 g/dL, Hematocrit: 30%, MCV: 110 µm^3', 'Hemoglobin: 7 g/dL, Hematocrit: 21%, MCV: 75 µm^3']",1
"An otherwise healthy, exclusively breastfed 4-day-old neonate is brought to the physician because of yellowing of his skin and eyes. His urine has been clear and stools have been normal. He was born at term by vacuum-assisted delivery and weighed 4000 g (8 lb 8 oz). Pregnancy was complicated by gestational diabetes mellitus. His older sibling had jaundice in the neonatal period. Vital signs are within normal limits. He appears alert and comfortable. Physical examination shows jaundice of the skin and sclerae. The liver is palpated 1 cm below the right costal margin. Laboratory studies show:
Hemoglobin 17 g/dl
Reticulocyte count 0.5 %
Total bilirubin 21.2 mg/dl
Direct bilirubin 2 mg/dl
Indirect bilirubin 19.1 mg/dl
Coombs test Negative
Which of the following is the most appropriate next step in management?""","An otherwise healthy, exclusively breastfed 4-day-old neonate is brought to the physician because of yellowing of her skin and eyes. Her urine has been clear and stools have been normal. She was born at term by vacuum-assisted delivery and weighed 4000 g (8 lb 8 oz). Pregnancy was complicated by gestational diabetes mellitus. Her older sibling had jaundice in the neonatal period. Vital signs are within normal limits. She appears alert and comfortable. Physical examination shows jaundice of the skin and sclerae. The liver is palpated 1 cm below the right costal margin. Laboratory studies show:
Hemoglobin 17 g/dl
Reticulocyte count 0.5 %
Total bilirubin 21.2 mg/dl
Direct bilirubin 2 mg/dl
Indirect bilirubin 19.1 mg/dl
Coombs test Negative
Which of the following is the most appropriate next step in management?","['Intravenous immunoglobulin', 'Increase frequency of breast feeds', 'Replace breast feeding with formula feeds', 'MRI of the brain', 'Phototherapy']",4
"A 34-year-old man is recovering in the post-operative unit following a laparoscopic procedure for chronic endometriosis. He had initially presented with complaints of painful menstrual cramps that kept him bedridden most of the day. He also mentioned to his gynecologist that he had been diagnosed with endometriosis 4 years ago, and he could not find a medication or alternative therapeutic measure that helped. His medical history was significant for surgery he had 6 years ago to remove tumors he had above his kidneys, after which he was prescribed hydrocortisone. An hour after the laparoscopic procedure, he calls the nurse because he is having difficulty breathing. The nurse records his vital signs include: blood pressure 85/55 mm Hg, respirations 20/min, and pulse 115/min. The patient suddenly loses consciousness. Intravenous fluids are started immediately. He gains consciousness, but his blood pressure is unchanged. Which of the following is the most likely cause of the hypotension?","A 34-year-old woman is recovering in the post-operative unit following a laparoscopic procedure for chronic endometriosis. She had initially presented with complaints of painful menstrual cramps that kept her bedridden most of the day. She also mentioned to her gynecologist that she had been diagnosed with endometriosis 4 years ago, and she could not find a medication or alternative therapeutic measure that helped. Her medical history was significant for surgery she had 6 years ago to remove tumors she had above her kidneys, after which she was prescribed hydrocortisone. An hour after the laparoscopic procedure, she calls the nurse because she is having difficulty breathing. The nurse records her vital signs include: blood pressure 85/55 mm Hg, respirations 20/min, and pulse 115/min. The patient suddenly loses consciousness. Intravenous fluids are started immediately. She gains consciousness, but her blood pressure is unchanged. Which of the following is the most likely cause of the hypotension?","['Infection involving the suture line', 'Loss of fluids during the procedure', 'Bleeding profusely through the surgical site', 'Improper supplementation of steroids', 'High doses of anesthetic drugs']",3
"A 47-year-old man presents to the clinic for an evaluation of intense itching of his right thigh region for the past few days. He states some ‘red bumps’ just began to form. The patient mentions that he was recently at a business conference in Miami. He has a past medical history of hypertension, diabetes type 2, and hyperlipidemia. He takes enalapril, metformin, and atorvastatin. He does not smoke or drink. His vitals are within normal limits today. On physical examination, a linear line with 3 red papules is present along the medial aspect of his right thigh. Additionally, there are small rows of bumps on his left leg and right forearm. Excoriations are also apparent in the same region. Which of the following is the most likely diagnosis?","A 47-year-old woman presents to the clinic for an evaluation of intense itching of her right thigh region for the past few days. She states some ‘red bumps’ just began to form. The patient mentions that she was recently at a business conference in Miami. She has a past medical history of hypertension, diabetes type 2, and hyperlipidemia. She takes enalapril, metformin, and atorvastatin. She does not smoke or drink. Her vitals are within normal limits today. On physical examination, a linear line with 3 red papules is present along the medial aspect of her right thigh. Additionally, there are small rows of bumps on her left leg and right forearm. Excoriations are also apparent in the same region. Which of the following is the most likely diagnosis?","['Scabies', 'Cutaneous larva migrans', 'Bed bug bite', 'Spider bite', 'Flea bite']",2
"A 70-year-old man presents with fever, headache, and vomiting. He says that symptoms onset acutely 2 days ago and have not improved. He also reports associated weakness and chills. Past medical history is significant for occasional heartburn. His temperature is 39.4°C (103.0°F), the pulse rate is 124/min, the blood pressure is 130/84 mm Hg, and the respiratory rate is 22/min. On physical examination, there is significant nuchal rigidity. No signs of raised intracranial pressure are present. A lumbar puncture is performed and cerebrospinal fluid (CSF) analysis shows lymphocyte-dominant pleocytosis with increased CSF protein levels. Bacteriological culture of the CSF reveals the growth of Listeria monocytogenes. Which of the following antibiotics is the best choice for the treatment of this patient?","A 70-year-old woman presents with fever, headache, and vomiting. She says that symptoms onset acutely 2 days ago and have not improved. She also reports associated weakness and chills. Past medical history is significant for occasional heartburn. Her temperature is 39.4°C (103.0°F), the pulse rate is 124/min, the blood pressure is 130/84 mm Hg, and the respiratory rate is 22/min. On physical examination, there is significant nuchal rigidity. No signs of raised intracranial pressure are present. A lumbar puncture is performed and cerebrospinal fluid (CSF) analysis shows lymphocyte-dominant pleocytosis with increased CSF protein levels. Bacteriological culture of the CSF reveals the growth of Listeria monocytogenes. Which of the following antibiotics is the best choice for the treatment of this patient?","['Ampicillin', 'Ceftriaxone', 'Chloramphenicol', 'Ciprofloxacin', 'Vancomycin']",0
"A 48-year-old man presents to his primary care physician with a 6-month history of increasing joint pain and stiffness. He says that the pain is primarily located in his knees and occurs in sharp bursts that are accompanied by redness and warmth. His past medical history is significant for diabetes though he is not currently taking any medications. He also suffers from occasional diarrhea with fatty stools. Physical exam reveals mild swelling and redness in his knees bilaterally. Furthermore, he is found to be very tan despite the fact that he says he stays out of the sun. He notes that he has always been significantly more tan than anyone else in his family. This patient is most likely predisposed to which of the following diseases?","A 48-year-old woman presents to her primary care physician with a 6-month history of increasing joint pain and stiffness. She says that the pain is primarily located in her knees and occurs in sharp bursts that are accompanied by redness and warmth. Her past medical history is significant for diabetes though she is not currently taking any medications. She also suffers from occasional diarrhea with fatty stools. Physical exam reveals mild swelling and redness in her knees bilaterally. Furthermore, she is found to be very tan despite the fact that she says she stays out of the sun. She notes that she has always been significantly more tan than anyone else in her family. This patient is most likely predisposed to which of the following diseases?","['Basal cell carcinoma', 'Hepatocellular carcinoma', 'Osteosarcoma', 'Pancreatic adenocarcinoma', 'Squamous cell skin carcinoma']",1
"A 70-year-old man presents to the clinic with right-sided chest pain and difficulty breathing for the past 10 days. When it began, the pain was mild, but as time went on, it increased to a level at which the man found it difficult to breathe. Two years ago, he was diagnosed with clear cell carcinoma of the kidney. Vital signs include: pulse rate is 72/min, blood pressure is 122/80 mm Hg, respiratory rate is 16/min, and temperature is 37.0°C (98.6°F). On physical examination, the trachea appears to have deviated to the left, respiratory movements are diminished, there is decreased resonance on percussion, and there is an absence of breath sounds over the right hemithorax. Which of the following is the most likely clinical diagnosis in this patient?","A 70-year-old woman presents to the clinic with right-sided chest pain and difficulty breathing for the past 10 days. When it began, the pain was mild, but as time went on, it increased to a level at which the woman found it difficult to breathe. Two years ago, she was diagnosed with clear cell carcinoma of the kidney. Vital signs include: pulse rate is 72/min, blood pressure is 122/80 mm Hg, respiratory rate is 16/min, and temperature is 37.0°C (98.6°F). On physical examination, the trachea appears to have deviated to the left, respiratory movements are diminished, there is decreased resonance on percussion, and there is an absence of breath sounds over the right hemithorax. Which of the following is the most likely clinical diagnosis in this patient?","['Pneumonia', 'Atelectasis', 'Pneumothorax', 'Pulmonary embolism', 'Pleural effusion']",4
"A 56-year-old man comes to the clinic complaining of back pain for the past 1 month. The pain is described as a dull ache that intensifies intermittently to an 8/10 in severity about 1-2 times a day. It intensified about 2 weeks ago following a fall during a ski trip. He reports that he noticed some pain at his buttocks and lower back following the fall but he wasn’t bothered by it. Hot packs and Tylenol seem to alleviate the pain somewhat. He denies lower extremity weakness, loss of sensation, fever, incontinence, or prior cancers; however, he reveals that his cousin was recently diagnosed with prostate cancer. Physical examination demonstrates normal range of motion and diffuse tenderness at the L4/L5 region with no point tenderness or vertebral step-offs. What is the next best step in the management of this patient?","A 56-year-old woman comes to the clinic complaining of back pain for the past 1 month. The pain is described as a dull ache that intensifies intermittently to an 8/10 in severity about 1-2 times a day. It intensified about 2 weeks ago following a fall during a ski trip. She reports that she noticed some pain at her buttocks and lower back following the fall but she wasn’t bothered by it. Hot packs and Tylenol seem to alleviate the pain somewhat. She denies lower extremity weakness, loss of sensation, fever, incontinence, or prior cancers; however, she reveals that her cousin was recently diagnosed with prostate cancer. Physical examination demonstrates normal range of motion and diffuse tenderness at the L4/L5 region with no point tenderness or vertebral step-offs. What is the next best step in the management of this patient?","['Back bracing', 'Best rest with return to activity in 1 week', 'Exercise therapy with NSAIDs/acetaminophen', 'Morphine as needed', 'Radiograph of lumbar spine']",2
"A 44-year-old man comes to his primary care physician with complaints of irritation and a gritty sensation in his eyes for the past few months. He denies any discharge from his eyes. He has no significant past medical or surgical history. He takes multivitamins occasionally but denies use of any other medication. On further questioning, he expresses his concerns about frequent dental caries for the past 2 years. On examination, his temperature is 37.1°C (98.8°F), blood pressure is 110/80 mm Hg, pulse rate is 74/min, and respiratory rate is 16/min. Which of the following is the most likely cause of his symptoms?","A 44-year-old woman comes to her primary care physician with complaints of irritation and a gritty sensation in her eyes for the past few months. She denies any discharge from her eyes. She has no significant past medical or surgical history. She takes multivitamins occasionally but denies use of any other medication. On further questioning, she expresses her concerns about frequent dental caries for the past 2 years. On examination, her temperature is 37.1°C (98.8°F), blood pressure is 110/80 mm Hg, pulse rate is 74/min, and respiratory rate is 16/min. Which of the following is the most likely cause of her symptoms?","['Systemic lupus erythematosus (SLE)', ""Sjögren's syndrome"", 'Rheumatoid arthritis', 'Fibromyalgia', 'Scleroderma']",1
"A 4-year-old boy is brought to the physician because of a 3-week history of generalized fatigue and easy bruising. During the past week, he has also had fever and severe leg pain that wakes him up at night. His temperature is 38.3°C (100.9°F), pulse is 120/min, and respirations are 30/min. Examination shows cervical and axillary lymphadenopathy. The abdomen is soft and nontender; the liver is palpated 3 cm below the right costal margin, and the spleen is palpated 2 cm below the left costal margin. Laboratory studies show:
Hemoglobin 10.1 g/dL
Leukocyte count 63,000/mm3
Platelet count 27,000/mm3
A bone marrow aspirate predominantly shows immature cells that stain positive for CD10, CD19, and TdT. Which of the following is the most likely diagnosis?","A 4-year-old girl is brought to the physician because of a 3-week history of generalized fatigue and easy bruising. During the past week, she has also had fever and severe leg pain that wakes her up at night. Her temperature is 38.3°C (100.9°F), pulse is 120/min, and respirations are 30/min. Examination shows cervical and axillary lymphadenopathy. The abdomen is soft and nontender; the liver is palpated 3 cm below the right costal margin, and the spleen is palpated 2 cm below the left costal margin. Laboratory studies show:
Hemoglobin 10.1 g/dL
Leukocyte count 63,000/mm3
Platelet count 27,000/mm3
A bone marrow aspirate predominantly shows immature cells that stain positive for CD10, CD19, and TdT. Which of the following is the most likely diagnosis?""","['Hodgkin lymphoma', 'Hairy cell leukemia', 'Aplastic anemia', 'Acute myeloid leukemia', 'Acute lymphoblastic leukemia']",4
"A 1-year-old immigrant boy presents to his pediatrician for a routine well-child check. He has not received any recommended vaccines since birth. He attends daycare and remains healthy despite his daily association with several other children for the past 3 months at a home daycare facility. Which of the following phenomena explains why he has not contracted any vaccine-preventable diseases such as measles, diphtheria, or pertussis?","A 1-year-old immigrant girl presents to her pediatrician for a routine well-child check. She has not received any recommended vaccines since birth. She attends daycare and remains healthy despite her daily association with several other children for the past 3 months at a home daycare facility. Which of the following phenomena explains why she has not contracted any vaccine-preventable diseases such as measles, diphtheria, or pertussis?","['Herd immunity', 'Genetic drift', 'Genetic shift', 'Tolerance', 'Immune evasion']",0
"A 23-year-old man is brought to the emergency department by police at 2:00 AM. They picked him up from a local nightclub, where he was yelling and threatening to fight the staff. A review of his medical record is unremarkable. At the hospital, his behavior continues to be agitated and bizarre. His temperature is 37.0°C (98.6°F), the blood pressure is 162/98 mm Hg, the heart rate is 120/min, the respiratory rate is 18/min, and the oxygen saturation is 99% on room air. The physical exam is notable for agitation, but otherwise, he appears healthy. His thin nasal mucosa oozes blood and his pupils are 2mm, equal, and reactive to light. His speech is pressured and bizarre. He insists the hospital should let him go because “I am in the FBI”. Urine toxicology is sent to the laboratory for analysis. Which of the following is the most likely cause of this patient's presentation?","A 23-year-old woman is brought to the emergency department by police at 2:00 AM. They picked her up from a local nightclub, where she was yelling and threatening to fight the staff. A review of her medical record is unremarkable. At the hospital, her behavior continues to be agitated and bizarre. Her temperature is 37.0°C (98.6°F), the blood pressure is 162/98 mm Hg, the heart rate is 120/min, the respiratory rate is 18/min, and the oxygen saturation is 99% on room air. The physical exam is notable for agitation, but otherwise, she appears healthy. Her thin nasal mucosa oozes blood and her pupils are 2mm, equal, and reactive to light. Her speech is pressured and bizarre. She insists the hospital should let her go because “I am in the FBI”. Urine toxicology is sent to the laboratory for analysis. Which of the following is the most likely cause of this patient's presentation?","['Acute manic episode', 'Cocaine intoxication', 'Phencyclidine (PCP) intoxication', 'Tetrahydrocannabinol (THC) intoxication', 'Thyrotoxicosis']",1
"A 33-year-old man is brought to the emergency department by his mother because of erratic behavior over the past 6 months. He spends most of his time alone in his room because he believes he is being followed by the Secret Service. He was fired from his job 3 months ago after threatening a colleague. He appears suspicious of his surroundings and asks the doctor questions about “the security of the hospital.” The patient exhibits a flat affect. During physical examination, he tells the doctor that he has a gun at home and plans to shoot his neighbor, whom he thinks is working for the Secret Service. Which of the following is the most appropriate action by the doctor?","A 33-year-old woman is brought to the emergency department by her father because of erratic behavior over the past 6 months. She spends most of her time alone in her room because she believes she is being followed by the Secret Service. She was fired from her job 3 months ago after threatening a colleague. She appears suspicious of her surroundings and asks the doctor questions about “the security of the hospital.” The patient exhibits a flat affect. During physical examination, she tells the doctor that she has a gun at home and plans to shoot her neighbor, whom she thinks is working for the Secret Service. Which of the following is the most appropriate action by the doctor?","['Administer haloperidol and request a psychiatric consultation', ""Discuss the diagnosis and therapy plan with the patient's mother"", 'Inform security and law enforcement', 'Warn the person at risk and inform law enforcement', ""Request a court order to override the patient's right to confidentiality""]",3
"A 3-year-old boy is brought to the emergency department for 2 days of abdominal pain and watery diarrhea. This morning his stool had a red tint. He and his parents visited a circus 1 week ago. The patient attends daycare. His immunizations are up-to-date. His temperature is 38°C (100.4°F), pulse is 140/min, and blood pressure is 80/45 mm Hg. Abdominal examination shows soft abdomen that is tender to palpation in the right lower quadrant with rebound. Stool culture grows Yersinia enterocolitica. Exposure to which of the following was the likely cause of this patient's condition?","A 3-year-old girl is brought to the emergency department for 2 days of abdominal pain and watery diarrhea. This morning her stool had a red tint. She and her parents visited a circus 1 week ago. The patient attends daycare. Her immunizations are up-to-date. Her temperature is 38°C (100.4°F), pulse is 140/min, and blood pressure is 80/45 mm Hg. Abdominal examination shows soft abdomen that is tender to palpation in the right lower quadrant with rebound. Stool culture grows Yersinia enterocolitica. Exposure to which of the following was the likely cause of this patient's condition?","['Undercooked pork', 'Undercooked poultry', 'Home-canned food', 'Unwashed vegetables', 'Deli meats']",0
"A 61-year-old male presents to the ER with abdominal discomfort and malaise over the past 2 weeks. He states he is married and monogamous. He has a temperature of 39.4°C (102.9°F) and complains of night sweats as well. On physical exam, he has an enlarged spleen with mild tenderness and pale nail beds. There is mild tonsillar erythema and the pulmonary exam demonstrates scattered crackles. A complete blood count demonstrates anemia, thrombocytopenia, and leukocytosis with lymphocytic predominance. A bone marrow aspiration is scheduled the next morning based on the peripheral blood smear findings but was inconclusive due to a low yield. The patient was admitted to the hospital due to the anemia and given a transfusion of packed red blood cells and wide spectrum antibiotics. He is released home the next day with instructions for primary care follow-up. Which of the following laboratory findings is most reliably positive for the primary cause of this illness?","A 61-year-old female presents to the ER with abdominal discomfort and malaise over the past 2 weeks. She states she is married and monogamous. She has a temperature of 39.4°C (102.9°F) and complains of night sweats as well. On physical exam, she has an enlarged spleen with mild tenderness and pale nail beds. There is mild tonsillar erythema and the pulmonary exam demonstrates scattered crackles. A complete blood count demonstrates anemia, thrombocytopenia, and leukocytosis with lymphocytic predominance. A bone marrow aspiration is scheduled the next morning based on the peripheral blood smear findings but was inconclusive due to a low yield. The patient was admitted to the hospital due to the anemia and given a transfusion of packed red blood cells and wide spectrum antibiotics. She is released home the next day with instructions for primary care follow-up. Which of the following laboratory findings is most reliably positive for the primary cause of this illness?","['Rapid streptococcal antigen', 'Quantiferon Gold', 'Monospot', 'Tartrate-resistant acid phosphatase (TRAP)', 'CD 25']",3
"A 28-year-old man presents to his primary care provider complaining of intermittent stomach pain, non-bloody diarrhea, and weight loss for the last 3 months. He has occasional abdominal pain and fever. This condition makes studying difficult. He has tried omeprazole and dietary changes with no improvement. Past medical history is significant for occasional pain in the wrists and knees for several years. He takes ibuprofen for pain relief. His temperature is 38°C (100.4°F). On mental status examination, short-term memory is impaired. Attention and concentration are reduced. Examination shows no abnormalities or tenderness of the wrists or knees. There are no abnormalities on heart and lung examinations. Abdominal examination is normal. Upper endoscopy shows normal stomach mucosa but in the duodenum, there is pale yellow mucosa with erythema and ulcerations. Biopsies show infiltration of the lamina propria with periodic acid-Schiff (PAS)-positive macrophages. Which of the following best explains these findings?","A 28-year-old woman presents to her primary care provider complaining of intermittent stomach pain, non-bloody diarrhea, and weight loss for the last 3 months. She has occasional abdominal pain and fever. This condition makes studying difficult. She has tried omeprazole and dietary changes with no improvement. Past medical history is significant for occasional pain in the wrists and knees for several years. She takes ibuprofen for pain relief. Her temperature is 38°C (100.4°F). On mental status examination, short-term memory is impaired. Attention and concentration are reduced. Examination shows no abnormalities or tenderness of the wrists or knees. There are no abnormalities on heart and lung examinations. Abdominal examination is normal. Upper endoscopy shows normal stomach mucosa but in the duodenum, there is pale yellow mucosa with erythema and ulcerations. Biopsies show infiltration of the lamina propria with periodic acid-Schiff (PAS)-positive macrophages. Which of the following best explains these findings?","['Celiac disease', 'Crohn’s disease', 'Giardia lamblia infection', 'Whipple’s disease', 'Wilson’s disease']",3
"A 60-year-old man is brought to the emergency department by his wife because of worsening shortness of breath over the past 2 days. Last week, he had a sore throat and a low-grade fever. He has coughed up white sputum each morning for the past 2 years. He has hypertension and type 2 diabetes mellitus. He has smoked 2 packs of cigarettes daily for 35 years. Current medications include metformin and lisinopril. On examination, he occasionally has to catch his breath between sentences. His temperature is 38.1°C (100.6°F), pulse is 85/min, respirations are 16/min, and blood pressure is 140/70 mm Hg. Expiratory wheezes with a prolonged expiratory phase are heard over both lung fields. Arterial blood gas analysis on room air shows:
pH 7.33
PCO2 53 mm Hg
PO2 68 mm Hg
An x-ray of the chest shows hyperinflation of bilateral lung fields and flattening of the diaphragm. Which of the following additional findings is most likely in this patient?","A 60-year-old woman is brought to the emergency department by her husband because of worsening shortness of breath over the past 2 days. Last week, she had a sore throat and a low-grade fever. She has coughed up white sputum each morning for the past 2 years. She has hypertension and type 2 diabetes mellitus. She has smoked 2 packs of cigarettes daily for 35 years. Current medications include metformin and lisinopril. On examination, she occasionally has to catch her breath between sentences. Her temperature is 38.1°C (100.6°F), pulse is 85/min, respirations are 16/min, and blood pressure is 140/70 mm Hg. Expiratory wheezes with a prolonged expiratory phase are heard over both lung fields. Arterial blood gas analysis on room air shows:
pH 7.33
PCO2 53 mm Hg
PO2 68 mm Hg
An x-ray of the chest shows hyperinflation of bilateral lung fields and flattening of the diaphragm. Which of the following additional findings is most likely in this patient?""","['Increased urine osmolar gap', 'Decreased urinary bicarbonate excretion', 'Increased urinary pH', 'Increased serum anion gap', 'Decreased urinary chloride concentration']",1
A 32-year-old nulliparous man with polycystic ovary syndrome comes to the physician for a pelvic examination and Pap smear. Last year he had a progestin-releasing intrauterine device placed. Menarche occurred at the age of 10 years. He became sexually active at the age of 14 years. His mother had breast cancer at the age of 51 years. He is 165 cm (5 ft 5 in) tall and weighs 79 kg (174 lb); BMI is 29 kg/m2. Examination shows mild facial acne. A Pap smear shows high-grade cervical intraepithelial neoplasia. Which of the following is this patient's strongest predisposing factor for developing this condition?,A 32-year-old nulliparous woman with polycystic ovary syndrome comes to the physician for a pelvic examination and Pap smear. Last year she had a progestin-releasing intrauterine device placed. Menarche occurred at the age of 10 years. She became sexually active at the age of 14 years. Her mother had breast cancer at the age of 51 years. She is 165 cm (5 ft 5 in) tall and weighs 79 kg (174 lb); BMI is 29 kg/m2. Examination shows mild facial acne. A Pap smear shows high-grade cervical intraepithelial neoplasia. Which of the following is this patient's strongest predisposing factor for developing this condition?,"['Early onset of sexual activity', 'Obesity', 'Early menarche', 'Family history of cancer', 'Polycystic ovary syndrome']",0
